w,lr,iters,x_max,alpha,final_loss,total_train_s,nnz
2,0.05,30,100.0,0.75,0.04910371589601696,2033.6187236309052,9754042
2,0.025,30,100.0,0.75,0.03512645284304454,2160.7738134860992,9754042
2,0.01,30,100.0,0.75,0.035049734556438575,2052.409120321274,9754042
